trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,11,0.24036620125516261,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,5,11.568003574094433,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,-44.434037525855736,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",30,11,-99.07477311849462,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 3}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",30,12,-62.05739480740844,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,10,13.497184558499251,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,10,5.681484728649496,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,0,-25.660347225973055,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,8,-13.39825985769142,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,11,-60.60231407224093,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,12,-2.5207127471035413,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,8,-6.178087591702608,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",30,13,-68.41652643759157,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,3,-5.842118395220737,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,10,9.62105272297665,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,13,23.947117856692756,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,8,-84.38194899864585,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,0,-7.691597838354719,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,8,7.755608819756195,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,2,-23.57756591280787,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,16,6.133646173382519,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,10,-1.405977678304616,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,0,-13.728178183122349,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",35,5,-62.44968392302937,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,17,-25.283524814268866,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,17,18.406467023926286,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,15,11.60383181411291,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,13,9.935872435024871,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,6,21.676904092026394,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,7,20.904950624408034,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,6,-8.075494267476412,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,8,26.64592353543862,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,6,26.68847637033653,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,10,7.139771262298657,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,11,19.923213497799928,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,10,26.996065033908305,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,12,13.186982227249736,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,8,17.72111851038816,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",35,27,16.530741620032707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",35,17,30.62458093863402,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,12,14.944991413555758,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,10,18.47508863282027,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,7,24.271755239816375,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,11,13.937421562352009,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",30,7,43.369793827916226,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,9,8.48067624184329,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",35,22,23.873536182543383,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",20,10,19.10501786123688,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,15,5.566377069900074,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,8,14.98685910373171,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,14.191290989028754,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,-1.4311869882068455,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,11.997788971005619,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,21.304879699617604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,18.040495236764112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,23.896606140530146,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,12,21.753449499649722,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,26.341557252971473,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,26.980263150417496,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,18,14.08364430308793,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,8,17.90638213231708,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,10,17.75932461312307,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,12,16.204522081047358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,13,12.957662557307858,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,15,17.877375894829292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,11,14.759501984951305,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,10,13.888661704490922,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,16,8.337257395950505,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,18,22.04196636765372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,11,31.413335917434544,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,6,23.697145410117187,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",30,18,21.32286858438163,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,12,30.989096968975648,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,13,20.76926961075158,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,13,13.200927075485966,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",25,16,18.75815489132078,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",35,17,40.14079999150561,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",35,18,25.688395315273997,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",25,11,23.21563158038172,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
